timestamp,x,y,z,vx,vy,vz,phi,theta,psi
1542785191.556659016,0.00903714,0.00143805,0.0025081,0.00721104,0.00369641,0.000543656,-1.84726,-0.374185,0.0258629
1542785191.605846764,0.00918952,0.00196514,0.00238011,-0.010899,0.031667,-0.00180014,-1.78523,-0.357674,0.102223
1542785191.755145609,-0.00262726,0.00326093,0.00403436,-0.0242585,0.013114,0.0576091,-1.69183,-0.481839,0.0980677
1542785191.805558356,-0.00204539,0.00451257,0.00748129,-0.016785,0.0143461,0.064234,-1.79256,-0.503987,0.185609
1542785191.947171139,-0.00743824,0.00933831,0.0269964,-0.118328,0.0626343,0.226622,-1.18042,-0.325992,-0.143678
1542785192.002829445,-0.0257686,0.0137632,0.0410653,-0.148841,0.0567,0.222511,-1.27291,-0.531687,-0.0289527
1542785192.051948177,-0.0325202,0.0156,0.0492263,-0.148091,0.0550189,0.2114,-1.27755,-0.572104,-0.00636115
1542785192.147056863,-0.0461454,0.0200368,0.0687695,-0.151509,0.0436673,0.221251,-1.22459,-0.496661,-0.0921007
1542785192.202146224,-0.0486568,0.0167145,0.0648648,-0.148105,0.0235102,0.192159,-1.2429,-0.522776,-0.081948
1542785192.251739487,-0.05612,0.0176718,0.0740316,-0.150416,0.0164494,0.178571,-1.35822,-0.564325,-0.0373018
1542785192.302272070,-0.0603914,0.0185306,0.0795872,-0.154184,0.00556694,0.171322,-1.28232,-0.55173,-0.0607226
1542785192.356900159,-0.0797056,0.0278879,0.080287,-0.177588,0.0134704,0.15626,-1.46601,-0.657197,-0.00585126
1542785192.402720241,-0.0839848,0.0308436,0.0850767,-0.180866,0.0179295,0.147125,-1.46465,-0.638985,-0.0294923
1542785192.456427357,-0.0936932,0.0316122,0.0929942,-0.190593,0.0132948,0.148241,-1.48565,-0.638923,-0.040652
1542785192.507858931,-0.0999548,0.0340465,0.0960277,-0.203081,0.0156017,0.142131,-1.46057,-0.671243,-0.0778132
1542785192.554621343,-0.108528,0.0346346,0.101992,-0.212656,0.0137279,0.136777,-1.4485,-0.718853,-0.0739871
1542785192.606719150,-0.116378,0.0354384,0.105741,-0.221418,0.0116207,0.129564,-1.42195,-0.802368,-0.0643429
